hts8;mfn_text_rate;mfn_rate_type_code;mfn_ad_val_rate;mfn_specific_rate;new_eu_rate
25221000;Free;0;0;0;15
25222000;Free;0;0;0;15
25223000;Free;0;0;0;15
25231000;Free;0;0;0;15
25232100;Free;0;0;0;15
25232900;Free;0;0;0;15
25233000;Free;0;0;0;15
25239000;Free;0;0;0;15
25241000;Free;0;0;0;15
25249000;Free;0;0;0;15
25251000;Free;0;0;0;15
25252000;Free;0;0;0;15
25253000;Free;0;0;0;15
25261000;Free;0;0;0;15
25262000;Free;0;0;0;15
25280000;Free;0;0;0;15
25291000;Free;0;0;0;15
25292100;Free;0;0;0;15
25292200;Free;0;0;0;15
25293000;Free;0;0;0;15
25301000;Free;0;0;0;15
25302010;Free;0;0;0;15
25302020;Free;0;0;0;15
25309010;Free;0;0;0;15
25309080;Free;0;0;0;15
26011100;Free;0;0;0;15
26011200;Free;0;0;0;15
26012000;Free;0;0;0;15
26020000;Free;0;0;0;15
26040000;Free;0;0;0;15
26050000;Free;0;0;0;15
26060000;Free;0;0;0;15
26080000;Free;0;0;0;15
26090000;Free;0;0;0;15
26100000;Free;0;0;0;15
26110030;Free;0;0;0;15
26121000;Free;0;0;0;15
26122000;Free;0;0;0;15
26140030;Free;0;0;0;15
26140060;Free;0;0;0;15
26151000;Free;0;0;0;15
26159030;Free;0;0;0;15
26159060;Free;0;0;0;15
26171000;Free;0;0;0;15
26179000;Free;0;0;0;15
26180000;Free;0;0;0;15
26190030;Free;0;0;0;15
26190090;Free;0;0;0;15
26201100;Free;0;0;0;15
26201930;Free;0;0;0;15
26202100;Free;0;0;0;15
26202900;Free;0;0;0;15
26203000;Free;0;0;0;15
26204000;Free;0;0;0;15
26206090;Free;0;0;0;15
26209100;Free;0;0;0;15
26209910;Free;0;0;0;15
26209930;Free;0;0;0;15
26209950;Free;0;0;0;15
26209975;Free;0;0;0;15
26209985;Free;0;0;0;15
26211000;Free;0;0;0;15
26219000;Free;0;0;0;15
27011100;Free;0;0;0;15
27011200;Free;0;0;0;15
27011900;Free;0;0;0;15
27012000;Free;0;0;0;15
27021000;Free;0;0;0;15
27022000;Free;0;0;0;15
27030000;Free;0;0;0;15
27040000;Free;0;0;0;15
27050000;Free;0;0;0;15
27060000;Free;0;0;0;15
27071000;Free;0;0;0;15
27072000;Free;0;0;0;15
27073000;Free;0;0;0;15
27074000;Free;0;0;0;15
27075000;Free;0;0;0;15
27079100;Free;0;0;0;15
27079910;Free;0;0;0;15
27079920;Free;0;0;0;15
27079959;Free;0;0;0;15
27079990;Free;0;0;0;15
27081000;Free;0;0;0;15
27082000;Free;0;0;0;15
27111100;Free;0;0;0;15
27111200;Free;0;0;0;15
27111300;Free;0;0;0;15
27111400;Free;0;0;0;15
27111900;Free;0;0;0;15
27112100;Free;0;0;0;15
27112900;Free;0;0;0;15
27121000;Free;0;0;0;15
27122000;Free;0;0;0;15
27129010;Free;0;0;0;15
27129020;Free;0;0;0;15
27131100;Free;0;0;0;15
27131200;Free;0;0;0;15
27132000;Free;0;0;0;15
27139000;Free;0;0;0;15
27141000;Free;0;0;0;15
27149000;Free;0;0;0;15
27150000;Free;0;0;0;15
27160000;Free;0;0;0;15
28011000;Free;0;0;0;15
28012000;Free;0;0;0;15
28020000;Free;0;0;0;15
28030000;Free;0;0;0;15
28045000;Free;0;0;0;15
28046100;Free;0;0;0;15
28047000;Free;0;0;0;15
28048000;Free;0;0;0;15
28049000;Free;0;0;0;15
28051920;Free;0;0;0;15
28061000;Free;0;0;0;15
28070000;Free;0;0;0;15
28080000;Free;0;0;0;15
28091000;Free;0;0;0;15
28092000;Free;0;0;0;15
28111100;Free;0;0;0;15
28111930;Free;0;0;0;15
28112250;Free;0;0;0;15
28112910;Free;0;0;0;15
28112920;Free;0;0;0;15
28121400;Free;0;0;0;15
28139010;Free;0;0;0;15
28139020;Free;0;0;0;15
28141000;Free;0;0;0;15
28142000;Free;0;0;0;15
28151100;Free;0;0;0;15
28151200;Free;0;0;0;15
28152000;Free;0;0;0;15
28170000;Free;0;0;0;15
28181010;Free;0;0;0;15
28182000;Free;0;0;0;15
28183000;Free;0;0;0;15
28254000;Free;0;0;0;15
28258000;Free;0;0;0;15
28259075;Free;0;0;0;15
28261200;Free;0;0;0;15
28263000;Free;0;0;0;15
28272000;Free;0;0;0;15
28273200;Free;0;0;0;15
28275100;Free;0;0;0;15
28275925;Free;0;0;0;15
28276010;Free;0;0;0;15
28291100;Free;0;0;0;15
28299005;Free;0;0;0;15
28299025;Free;0;0;0;15
28309010;Free;0;0;0;15
28311010;Free;0;0;0;15
28331110;Free;0;0;0;15
28331900;Free;0;0;0;15
28332200;Free;0;0;0;15
28332920;Free;0;0;0;15
28342100;Free;0;0;0;15
28342910;Free;0;0;0;15
28352500;Free;0;0;0;15
28352600;Free;0;0;0;15
28352910;Free;0;0;0;15
28363000;Free;0;0;0;15
28365000;Free;0;0;0;15
28371100;Free;0;0;0;15
28371901;Free;0;0;0;15
28441020;Free;0;0;0;15
28442000;Free;0;0;0;15
28443020;Free;0;0;0;15
28444100;Free;0;0;0;15
28444200;Free;0;0;0;15
28444300;Free;0;0;0;15
28444400;Free;0;0;0;15
28445000;Free;0;0;0;15
28451000;Free;0;0;0;15
28452000;Free;0;0;0;15
28453000;Free;0;0;0;15
28454000;Free;0;0;0;15
28459001;Free;0;0;0;15
28469020;Free;0;0;0;15
28469040;Free;0;0;0;15
28492010;Free;0;0;0;15
28500005;Free;0;0;0;15
28521010;Free;0;0;0;15
28529005;Free;0;0;0;15
28539050;Free;0;0;0;15
29011010;Free;0;0;0;15
29011030;Free;0;0;0;15
29011040;Free;0;0;0;15
29011050;Free;0;0;0;15
29012100;Free;0;0;0;15
29012200;Free;0;0;0;15
29012300;Free;0;0;0;15
29012410;Free;0;0;0;15
29012420;Free;0;0;0;15
29012450;Free;0;0;0;15
29012910;Free;0;0;0;15
29012950;Free;0;0;0;15
29021100;Free;0;0;0;15
29021900;Free;0;0;0;15
29022000;Free;0;0;0;15
29023000;Free;0;0;0;15
29024100;Free;0;0;0;15
29024200;Free;0;0;0;15
29024300;Free;0;0;0;15
29024400;Free;0;0;0;15
29025000;Free;0;0;0;15
