hs_8digit;hs_92_origin;description;excluded;source;mapping_method
52081280;5208.12;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, unbleached;0;WTO ATC Annex;both
52081300;5208.13;Twill weave cotton fabric,>/=85%, not more than 200 g/m2, unbleached;0;WTO ATC Annex;both
52081920;5208.19;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, unbleached, nes;0;WTO ATC Annex;both
52081940;5208.19;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, unbleached, nes;0;WTO ATC Annex;both
52081960;5208.19;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, unbleached, nes;0;WTO ATC Annex;both
52081980;5208.19;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, unbleached, nes;0;WTO ATC Annex;both
52082120;5208.21;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, bleached;0;WTO ATC Annex;both
52082140;5208.21;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, bleached;0;WTO ATC Annex;both
52082160;5208.21;Plain weave cotton fabrics,>/=85%, not more than 100 g/m2, bleached;0;WTO ATC Annex;both
52082240;5208.22;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, bleached;0;WTO ATC Annex;both
52082260;5208.22;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, bleached;0;WTO ATC Annex;both
52082280;5208.22;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, bleached;0;WTO ATC Annex;both
52082300;5208.23;Twill weave cotton fabric,>/=85%, not more than 200 g/m2, bleached;0;WTO ATC Annex;both
52082920;5208.29;Woven fabrics of cotton,>/=85%, nt more than 200 g/m2, bleached, nes;0;WTO ATC Annex;both
52082940;5208.29;Woven fabrics of cotton,>/=85%, nt more than 200 g/m2, bleached, nes;0;WTO ATC Annex;both
52082960;5208.29;Woven fabrics of cotton,>/=85%, nt more than 200 g/m2, bleached, nes;0;WTO ATC Annex;both
52082980;5208.29;Woven fabrics of cotton,>/=85%, nt more than 200 g/m2, bleached, nes;0;WTO ATC Annex;both
52083120;5208.31;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, dyed;0;WTO ATC Annex;both
52083140;5208.31;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, dyed;0;WTO ATC Annex;both
52083160;5208.31;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, dyed;0;WTO ATC Annex;both
52083180;5208.31;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, dyed;0;WTO ATC Annex;both
52083210;5208.32;Plain weave cotton fabric,>/=85%,>100g/m= to 200g/m=, dyed;0;WTO ATC Annex;both
52083230;5208.32;Plain weave cotton fabric,>/=85%,>100g/m= to 200g/m=, dyed;0;WTO ATC Annex;both
52083240;5208.32;Plain weave cotton fabric,>/=85%,>100g/m= to 200g/m=, dyed;0;WTO ATC Annex;both
52083250;5208.32;Plain weave cotton fabric,>/=85%,>100g/m= to 200g/m=, dyed;0;WTO ATC Annex;both
52083300;5208.33;Twill weave cotton fabrics,>/=85%, not more than 200 g/m2, dyed;0;WTO ATC Annex;both
52083920;5208.39;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, dyed, nes;0;WTO ATC Annex;both
52083940;5208.39;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, dyed, nes;0;WTO ATC Annex;both
52083960;5208.39;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, dyed, nes;0;WTO ATC Annex;both
52083980;5208.39;Woven fabrics of cotton,>/=85%, not more than 200 g/m2, dyed, nes;0;WTO ATC Annex;both
52084120;5208.41;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, yarn dyed;0;WTO ATC Annex;both
52084140;5208.41;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, yarn dyed;0;WTO ATC Annex;both
52084160;5208.41;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, yarn dyed;0;WTO ATC Annex;both
52084180;5208.41;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, yarn dyed;0;WTO ATC Annex;both
52084210;5208.42;Plain weave cotton fabrics,>/=85%, >100 g/m2 to 200 g/m2, yarn dyed;0;WTO ATC Annex;both
