hs_8digit,import_origin,compliance_rate,comment
09011200,CAN,0,USITC DataWeb Jul-Sep 2025
09012100,CAN,0.2744,USITC DataWeb Jul-Sep 2025
09012200,CAN,0.2322,USITC DataWeb Jul-Sep 2025
09019020,CAN,1,USITC DataWeb Jul-Sep 2025
09021010,CAN,0.9569,USITC DataWeb Jul-Sep 2025
09021090,CAN,0.8892,USITC DataWeb Jul-Sep 2025
09022090,CAN,0.9881,USITC DataWeb Jul-Sep 2025
09023000,CAN,0.9291,USITC DataWeb Jul-Sep 2025
09024000,CAN,0.9809,USITC DataWeb Jul-Sep 2025
09041200,CAN,0,USITC DataWeb Jul-Sep 2025
09042160,CAN,1,USITC DataWeb Jul-Sep 2025
09042276,CAN,0.6703,USITC DataWeb Jul-Sep 2025
09062000,CAN,0.7827,USITC DataWeb Jul-Sep 2025
09092100,CAN,1,USITC DataWeb Jul-Sep 2025
09092200,CAN,1,USITC DataWeb Jul-Sep 2025
09093100,CAN,1,USITC DataWeb Jul-Sep 2025
09093200,CAN,1,USITC DataWeb Jul-Sep 2025
09096100,CAN,1,USITC DataWeb Jul-Sep 2025
09096200,CAN,1,USITC DataWeb Jul-Sep 2025
09101200,CAN,1,USITC DataWeb Jul-Sep 2025
09109100,CAN,0.9751,USITC DataWeb Jul-Sep 2025
09109910,CAN,1,USITC DataWeb Jul-Sep 2025
09109950,CAN,1,USITC DataWeb Jul-Sep 2025
09109960,CAN,0.9932,USITC DataWeb Jul-Sep 2025
10011100,CAN,1,USITC DataWeb Jul-Sep 2025
10011900,CAN,1,USITC DataWeb Jul-Sep 2025
10019100,CAN,1,USITC DataWeb Jul-Sep 2025
10019900,CAN,0.7303,USITC DataWeb Jul-Sep 2025
10021000,CAN,1,USITC DataWeb Jul-Sep 2025
10029000,CAN,1,USITC DataWeb Jul-Sep 2025
10031000,CAN,1,USITC DataWeb Jul-Sep 2025
10039020,CAN,1,USITC DataWeb Jul-Sep 2025
10039040,CAN,1,USITC DataWeb Jul-Sep 2025
10041000,CAN,1,USITC DataWeb Jul-Sep 2025
10049000,CAN,0.9635,USITC DataWeb Jul-Sep 2025
10051000,CAN,1,USITC DataWeb Jul-Sep 2025
10059020,CAN,1,USITC DataWeb Jul-Sep 2025
10059040,CAN,0.9817,USITC DataWeb Jul-Sep 2025
10062040,CAN,1,USITC DataWeb Jul-Sep 2025
10063010,CAN,1,USITC DataWeb Jul-Sep 2025
10063090,CAN,1,USITC DataWeb Jul-Sep 2025
10064000,CAN,1,USITC DataWeb Jul-Sep 2025
10081000,CAN,1,USITC DataWeb Jul-Sep 2025
10082100,CAN,1,USITC DataWeb Jul-Sep 2025
10082900,CAN,1,USITC DataWeb Jul-Sep 2025
10083000,CAN,0.9866,USITC DataWeb Jul-Sep 2025
10085000,CAN,1,USITC DataWeb Jul-Sep 2025
10086000,CAN,1,USITC DataWeb Jul-Sep 2025
10089001,CAN,0.9986,USITC DataWeb Jul-Sep 2025
11010000,CAN,0.9989,USITC DataWeb Jul-Sep 2025
11022000,CAN,1,USITC DataWeb Jul-Sep 2025
11029020,CAN,1,USITC DataWeb Jul-Sep 2025
11029025,CAN,1,USITC DataWeb Jul-Sep 2025
