hs_8digit;origin;rate;;;;;;
87011001;List 1;25;;;;;;
87013010;List 1;25;;;;;;
87021031;List 1;25;;;;;;
87021061;List 1;25;;;;;;
87022031;List 1;25;;;;;;
87022061;List 1;25;;;;;;
87023031;List 1;25;;;;;;
87023061;List 1;25;;;;;;
87032101;List 1;25;;;;;;
87032201;List 1;25;;;;;;
87032301;List 1;25;;;;;;
87032401;List 1;25;;;;;;
87033101;List 1;25;;;;;;
87033201;List 1;25;;;;;;
87033301;List 1;25;;;;;;
87034000;List 1;25;;;;;;
87035000;List 1;25;;;;;;
87041010;List 1;25;;;;;;
87041050;List 1;25;;;;;;
87042101;List 1;25;;;;;;
87042211;List 1;25;;;;;;
87042251;List 1;25;;;;;;
87042301;List 1;25;;;;;;
87043101;List 1;25;;;;;;
87043201;List 1;25;;;;;;
87044100;List 1;25;;;;;;
87044200;List 1;25;;;;;;
87044300;List 1;25;;;;;;
87045100;List 1;25;;;;;;
87045200;List 1;25;;;;;;
87053000;List 1;25;;;;;;
87054000;List 1;25;;;;;;
87060025;List 1;25;;;;;;
87060030;List 1;25;;;;;;
87091100;List 1;25;;;;;;
87091900;List 1;25;;;;;;
87099000;List 1;25;;;;;;
87115000;List 1;25;;;;;;
88021101;List 1;25;;;;;;
88021201;List 1;25;;;;;;
88022001;List 1;25;;;;;;
88023001;List 1;25;;;;;;
88024001;List 1;25;;;;;;
88026030;List 1;25;;;;;;
88026090;List 1;25;;;;;;
88051000;List 1;25;;;;;;
88052100;List 1;25;;;;;;
88052900;List 1;25;;;;;;
88061000;List 1;25;;;;;;
88062100;List 1;25;;;;;;
88062200;List 1;25;;;;;;
88062300;List 1;25;;;;;;
88062400;List 1;25;;;;;;
88062900;List 1;25;;;;;;
88069100;List 1;25;;;;;;
88069200;List 1;25;;;;;;
88069300;List 1;25;;;;;;
88069400;List 1;25;;;;;;
88069900;List 1;25;;;;;;
88071000;List 1;25;;;;;;
88072000;List 1;25;;;;;;
88073000;List 1;25;;;;;;
88079030;List 1;25;;;;;;
88079090;List 1;25;;;;;;
89011000;List 1;25;;;;;;
89012000;List 1;25;;;;;;
89019000;List 1;25;;;;;;
89020000;List 1;25;;;;;;
89040000;List 1;25;;;;;;
89051000;List 1;25;;;;;;
89052000;List 1;25;;;;;;
89059050;List 1;25;;;;;;
89069000;List 1;25;;;;;;
89080000;List 1;25;;;;;;
90029020;List 1;25;;;;;;
90029040;List 1;25;;;;;;
90029070;List 1;25;;;;;;
90029095;List 1;25;;;;;;
90111040;List 1;25;;;;;;
90111080;List 1;25;;;;;;
90112040;List 1;25;;;;;;
90119000;List 1;25;;;;;;
90121000;List 1;25;;;;;;
90129000;List 1;25;;;;;;
90131045;List 1;25;;;;;;
90132000;List 1;25;;;;;;
90141070;List 1;25;;;;;;
90142020;List 1;25;;;;;;
90142040;List 1;25;;;;;;
90142060;List 1;25;;;;;;
90142080;List 1;25;;;;;;
90148010;List 1;25;;;;;;
90148020;List 1;25;;;;;;
90148040;List 1;25;;;;;;
90148050;List 1;25;;;;;;
90149010;List 1;25;;;;;;
90149020;List 1;25;;;;;;
90149040;List 1;25;;;;;;
90149060;List 1;25;;;;;;
90151080;List 1;25;;;;;;
90152040;List 1;25;;;;;;
90152080;List 1;25;;;;;;
90154040;List 1;25;;;;;;
90154080;List 1;25;;;;;;
90158020;List 1;25;;;;;;
90158060;List 1;25;;;;;;
90158080;List 1;25;;;;;;
90181130;List 1;25;;;;;;
90181160;List 1;25;;;;;;
90181190;List 1;25;;;;;;
90181200;List 1;25;;;;;;
90181300;List 1;25;;;;;;
90181400;List 1;25;;;;;;
90181940;List 1;25;;;;;;
90181955;List 1;25;;;;;;
90181975;List 1;25;;;;;;
90181995;List 1;25;;;;;;
90182000;List 1;25;;;;;;
90189020;List 1;25;;;;;;
90189030;List 1;25;;;;;;
90189060;List 1;25;;;;;;
90189075;List 1;25;;;;;;
90215000;List 1;25;;;;;;
90221200;List 1;25;;;;;;
90221300;List 1;25;;;;;;
90221400;List 1;25;;;;;;
90221900;List 1;25;;;;;;
90222100;List 1;25;;;;;;
90222980;List 1;25;;;;;;
90223000;List 1;25;;;;;;
90229005;List 1;25;;;;;;
90229015;List 1;25;;;;;;
90229025;List 1;25;;;;;;
90229040;List 1;25;;;;;;
90229060;List 1;25;;;;;;
90229095;List 1;25;;;;;;
90241000;List 1;25;;;;;;
90248000;List 1;25;;;;;;
90249000;List 1;25;;;;;;
90261020;List 1;25;;;;;;
90262040;List 1;25;;;;;;
90268020;List 1;25;;;;;;
90269020;List 1;25;;;;;;
90269040;List 1;25;;;;;;
90269060;List 1;25;;;;;;
90272050;List 1;25;;;;;;
90272080;List 1;25;;;;;;
90273040;List 1;25;;;;;;
90273080;List 1;25;;;;;;
90275010;List 1;25;;;;;;
90275040;List 1;25;;;;;;
90275080;List 1;25;;;;;;
90278100;List 1;25;;;;;;
90278925;List 1;25;;;;;;
90278945;List 1;25;;;;;;
90278980;List 1;25;;;;;;
90279045;List 1;25;;;;;;
90279054;List 1;25;;;;;;
90279056;List 1;25;;;;;;
90279059;List 1;25;;;;;;
90279064;List 1;25;;;;;;
90279084;List 1;25;;;;;;
90279088;List 1;25;;;;;;
90289000;List 1;25;;;;;;
90301000;List 1;25;;;;;;
90302005;List 1;25;;;;;;
90303334;List 1;25;;;;;;
90303338;List 1;25;;;;;;
90303901;List 1;25;;;;;;
90304000;List 1;25;;;;;;
90308200;List 1;25;;;;;;
90309025;List 1;25;;;;;;
90309046;List 1;25;;;;;;
90309066;List 1;25;;;;;;
90309068;List 1;25;;;;;;
90309084;List 1;25;;;;;;
90309089;List 1;25;;;;;;
90311000;List 1;25;;;;;;
90312000;List 1;25;;;;;;
90314100;List 1;25;;;;;;
90314910;List 1;25;;;;;;
90314940;List 1;25;;;;;;
90314970;List 1;25;;;;;;
90314990;List 1;25;;;;;;
90318040;List 1;25;;;;;;
90318080;List 1;25;;;;;;
90319021;List 1;25;;;;;;
90319054;List 1;25;;;;;;
90319059;List 1;25;;;;;;
90319070;List 1;25;;;;;;
90319091;List 1;25;;;;;;
90321000;List 1;25;;;;;;
90322000;List 1;25;;;;;;
90328100;List 1;25;;;;;;
90328920;List 1;25;;;;;;
90328940;List 1;25;;;;;;
90328960;List 1;25;;;;;;
90329021;List 1;25;;;;;;
90329041;List 1;25;;;;;;
90329061;List 1;25;;;;;;
90330020;List 1;25;;;;;;
90330030;List 1;25;;;;;;
90330090;List 1;25;;;;;;
27101930;List 2;25;;;;;;
27101935;List 2;25;;;;;;
27101940;List 2;25;;;;;;
34031910;List 2;25;;;;;;
34031950;List 2;25;;;;;;
