data_type;exporter;iso2;un_code;hs_8digit;hs_8digit_name;us_imports
2025 New Combination;Algeria;DZ;12;15099020;;0
2025 New Combination;Algeria;DZ;12;84099199;;0
2025 New Combination;Algeria;DZ;12;08041080;;0
2025 New Combination;Algeria;DZ;12;20059997;;0
2025 New Combination;Algeria;DZ;12;49070000;;0
2025 New Combination;Algeria;DZ;12;15179090;;0
2025 New Combination;Algeria;DZ;12;19012060;;0
2025 New Combination;Algeria;DZ;12;28273100;;0
2025 New Combination;Algeria;DZ;12;39076900;;0
2025 New Combination;Algeria;DZ;12;90309089;;0
2025 New Combination;Algeria;DZ;12;09109960;;0
2025 New Combination;Algeria;DZ;12;11032000;;0
2025 New Combination;Algeria;DZ;12;31052000;;0
2025 New Combination;Algeria;DZ;12;11031100;;0
2025 New Combination;Algeria;DZ;12;84719000;;0
2025 New Combination;Algeria;DZ;12;90262040;;0
2025 New Combination;Algeria;DZ;12;17029090;;0
2025 New Combination;Algeria;DZ;12;39211350;;0
2025 New Combination;Algeria;DZ;12;39076100;;0
2025 New Combination;Algeria;DZ;12;31022100;;0
2025 New Combination;Algeria;DZ;12;85176200;;0
2025 New Combination;Algeria;DZ;12;97012100;;0
2025 New Combination;Algeria;DZ;12;34025051;;0
2025 New Combination;Algeria;DZ;12;84713001;;0
2025 New Combination;Algeria;DZ;12;61102020;;0
2025 New Combination;Algeria;DZ;12;17049035;;0
2025 New Combination;Algeria;DZ;12;17029020;;0
2025 New Combination;Algeria;DZ;12;84812000;;0
2025 New Combination;Algeria;DZ;12;11063040;;0
2025 New Combination;Algeria;DZ;12;84136000;;0
2025 New Combination;Algeria;DZ;12;84842000;;0
2025 New Combination;Algeria;DZ;12;44079902;;0
2025 New Combination;Algeria;DZ;12;85363080;;0
2025 New Combination;Algeria;DZ;12;42022190;;0
2025 New Combination;Algeria;DZ;12;94054900;;0
2025 New Combination;Algeria;DZ;12;15092090;;0
2025 New Combination;Algeria;DZ;12;62052020;;0
2025 New Combination;Algeria;DZ;12;85171300;;0
2025 New Combination;Algeria;DZ;12;40115000;;0
2025 New Combination;Andorra;AN;20;91022945;;0
2025 New Combination;Andorra;AN;20;59100010;;0
2025 New Combination;Andorra;AN;20;85176200;;0
2025 New Combination;Andorra;AN;20;85423900;;0
2025 New Combination;Andorra;AN;20;71131950;;0
2025 New Combination;Andorra;AN;20;84439130;;0
2025 New Combination;Andorra;AN;20;87082925;;0
2025 New Combination;Andorra;AN;20;39263050;;0
2025 New Combination;Andorra;AN;20;84145965;;0
2025 New Combination;Andorra;AN;20;92059060;;0
2025 New Combination;Andorra;AN;20;87120048;;0
2025 New Combination;Andorra;AN;20;85371091;;0
2025 New Combination;Andorra;AN;20;87082951;;0
2025 New Combination;Andorra;AN;20;87081060;;0
2025 New Combination;Andorra;AN;20;94036080;;0
2025 New Combination;Andorra;AN;20;94035090;;0
2025 New Combination;Andorra;AN;20;39233000;;0
2025 New Combination;Andorra;AN;20;85437098;;0
2025 New Combination;Andorra;AN;20;64041190;;0
2025 New Combination;Andorra;AN;20;64039990;;0
2025 New Combination;Andorra;AN;20;19022000;;0
2025 New Combination;Andorra;AN;20;90303338;;0
2025 New Combination;Andorra;AN;20;42022190;;0
2025 New Combination;Andorra;AN;20;84141000;;0
2025 New Combination;Andorra;AN;20;90273040;;0
2025 New Combination;Andorra;AN;20;70134960;;0
2025 New Combination;Andorra;AN;20;94016140;;0
2025 New Combination;Andorra;AN;20;85381000;;0
2025 New Combination;Andorra;AN;20;97019900;;0
2025 New Combination;Andorra;AN;20;85332100;;0
2025 New Combination;Andorra;AN;20;40169310;;0
2025 New Combination;Andorra;AN;20;62114960;;0
2025 New Combination;Andorra;AN;20;94017900;;0
2025 New Combination;Andorra;AN;20;84138100;;0
2025 New Combination;Andorra;AN;20;62114950;;0
2025 New Combination;Andorra;AN;20;98010026;;0
2025 New Combination;Andorra;AN;20;85416000;;0
2025 New Combination;Andorra;AN;20;62114903;;0
2025 New Combination;Angola;AG;24;20089965;;0
2025 New Combination;Angola;AG;24;20081115;;0
2025 New Combination;Angola;AG;24;30029052;;0
2025 New Combination;Angola;AG;24;27101215;;0
2025 New Combination;Antigua and Barbuda;AT;28;84129090;;0
2025 New Combination;Antigua and Barbuda;AT;28;98010010;;0
2025 New Combination;Antigua and Barbuda;AT;28;85491900;;0
2025 New Combination;Antigua and Barbuda;AT;28;39076900;;0
2025 New Combination;Antigua and Barbuda;AT;28;76020000;;0
2025 New Combination;Antigua and Barbuda;AT;28;84715001;;0
2025 New Combination;Antigua and Barbuda;AT;28;87089981;;0
2025 New Combination;Antigua and Barbuda;AT;28;74040060;;0
2025 New Combination;Antigua and Barbuda;AT;28;71129101;;0
2025 New Combination;Antigua and Barbuda;AT;28;84099991;;0
2025 New Combination;Antigua and Barbuda;AT;28;84248910;;0
2025 New Combination;Antigua and Barbuda;AT;28;84213901;;0
2025 New Combination;Antigua and Barbuda;AT;28;94039990;;0
2025 New Combination;Antigua and Barbuda;AT;28;83024260;;0
2025 New Combination;Antigua and Barbuda;AT;28;97019100;;0
2025 New Combination;Antigua and Barbuda;AT;28;71131950;;0
2025 New Combination;Antigua and Barbuda;AT;28;74040030;;0
2025 New Combination;Antigua and Barbuda;AT;28;84388000;;0
2025 New Combination;Antigua and Barbuda;AT;28;84072100;;0
2025 New Combination;Antigua and Barbuda;AT;28;94039930;;0
2025 New Combination;Antigua and Barbuda;AT;28;94033080;;0
2025 New Combination;Antigua and Barbuda;AT;28;90271020;;0
2025 New Combination;Antigua and Barbuda;AT;28;82059010;;0
2025 New Combination;Antigua and Barbuda;AT;28;71131150;;0
2025 New Combination;Antigua and Barbuda;AT;28;63063000;;0
2025 New Combination;Antigua and Barbuda;AT;28;03061700;;0
2025 New Combination;Antigua and Barbuda;AT;28;05119100;;0
2025 New Combination;Antigua and Barbuda;AT;28;22084040;;0
2025 New Combination;Antigua and Barbuda;AT;28;39269099;;0
2025 New Combination;Antigua and Barbuda;AT;28;85462000;;0
2025 New Combination;Antigua and Barbuda;AT;28;85472000;;0
2025 New Combination;Antigua and Barbuda;AT;28;56075040;;0
2025 New Combination;Antigua and Barbuda;AT;28;31021000;;0
2025 New Combination;Antigua and Barbuda;AT;28;84713001;;0
2025 New Combination;Antigua and Barbuda;AT;28;40151951;;0
2025 New Combination;Antigua and Barbuda;AT;28;85118060;;0
2025 New Combination;Antigua and Barbuda;AT;28;63079098;;0
2025 New Combination;Antigua and Barbuda;AT;28;90089080;;0
2025 New Combination;Antigua and Barbuda;AT;28;42010060;;0
2025 New Combination;Antigua and Barbuda;AT;28;39173200;;0
2025 New Combination;Antigua and Barbuda;AT;28;90223000;;0
2025 New Combination;Azerbaijan;AZ;31;20089905;;0
2025 New Combination;Azerbaijan;AZ;31;94016140;;0
2025 New Combination;Azerbaijan;AZ;31;85166040;;0
2025 New Combination;Azerbaijan;AZ;31;40122060;;0
2025 New Combination;Azerbaijan;AZ;31;20021000;;0
2025 New Combination;Azerbaijan;AZ;31;20011000;;0
2025 New Combination;Azerbaijan;AZ;31;85437045;;0
2025 New Combination;Azerbaijan;AZ;31;27121000;;0
2025 New Combination;Azerbaijan;AZ;31;19021920;;0
2025 New Combination;Azerbaijan;AZ;31;84732900;;0
2025 New Combination;Azerbaijan;AZ;31;40169310;;0
2025 New Combination;Azerbaijan;AZ;31;90189080;;0
2025 New Combination;Azerbaijan;AZ;31;39241030;;0
2025 New Combination;Azerbaijan;AZ;31;98170050;;0
2025 New Combination;Azerbaijan;AZ;31;40169960;;0
2025 New Combination;Azerbaijan;AZ;31;71101100;;0
2025 New Combination;Azerbaijan;AZ;31;73089060;;0
2025 New Combination;Azerbaijan;AZ;31;44182180;;0
2025 New Combination;Azerbaijan;AZ;31;85371060;;0
2025 New Combination;Azerbaijan;AZ;31;61102020;;0
2025 New Combination;Azerbaijan;AZ;31;85433020;;0
2025 New Combination;Azerbaijan;AZ;31;97031000;;0
2025 New Combination;Azerbaijan;AZ;31;20081146;;0
2025 New Combination;Azerbaijan;AZ;31;90158080;;0
2025 New Combination;Azerbaijan;AZ;31;84717090;;0
2025 New Combination;Azerbaijan;AZ;31;90269060;;0
2025 New Combination;Azerbaijan;AZ;31;20081990;;0
2025 New Combination;Azerbaijan;AZ;31;27101906;;0
2025 New Combination;Azerbaijan;AZ;31;19041000;;0
2025 New Combination;Azerbaijan;AZ;31;85423900;;0
2025 New Combination;Azerbaijan;AZ;31;76061260;;0
2025 New Combination;Azerbaijan;AZ;31;04072100;;0
2025 New Combination;Azerbaijan;AZ;31;62031990;;0
2025 New Combination;Azerbaijan;AZ;31;85444290;;0
2025 New Combination;Azerbaijan;AZ;31;84799095;;0
2025 New Combination;Azerbaijan;AZ;31;62034990;;0
2025 New Combination;Azerbaijan;AZ;31;84119190;;0
2025 New Combination;Azerbaijan;AZ;31;20079975;;0
2025 New Combination;Azerbaijan;AZ;31;20098980;;0
2025 New Combination;Azerbaijan;AZ;31;12119089;;0
2025 New Combination;Azerbaijan;AZ;31;71189000;;0
2025 New Combination;Azerbaijan;AZ;31;76042950;;0
2025 New Combination;Argentina;AR;32;84138200;;0
2025 New Combination;Argentina;AR;32;95059040;;0
2025 New Combination;Argentina;AR;32;64032000;;0
2025 New Combination;Argentina;AR;32;74101100;;0
2025 New Combination;Argentina;AR;32;71039910;;0
2025 New Combination;Argentina;AR;32;85371030;;0
2025 New Combination;Argentina;AR;32;66019100;;0
2025 New Combination;Argentina;AR;32;19019036;;0
2025 New Combination;Argentina;AR;32;84799045;;0
2025 New Combination;Argentina;AR;32;36032000;;0
2025 New Combination;Argentina;AR;32;37019960;;0
