hs_8digit;rate_type;import_origin;exception_type;effective_date;end_date;source
19059090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20019045;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20059160;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20060040;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20079940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20079950;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20081915;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20082000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20083035;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
20083035;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089913;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089915;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089921;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089945;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20089991;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20091100;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
20091100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20091225;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
20091225;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20091245;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
20091245;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20091900;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20093160;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20093920;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20094940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20098970;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
20099040;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
21011129;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
21011290;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
21012020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
21069048;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
21069099;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
22029930;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
22029935;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
25251000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
25251000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
26011100;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
26011100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
26011200;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
26011200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
26090000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
26090000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27011100;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27011100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27011200;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27011200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27011900;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27011900;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27012000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27012000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27021000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27021000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27022000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27022000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27030000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27030000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27040000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27040000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27050000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27050000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
